id,향계열명,향계열설명,이미지URL
1,Aromatic,"아로마틱(Aromatic)은 고대 그리스어에서 출발한, 향수 세계에서 가장 오래된 언어 중 하나입니다. 라벤더, 로즈마리, 타임, 세이지, 바질처럼 우리가 부엌과 정원에서 친숙하게 마주치는 허브들이 이 계열의 주인공입니다. 여기에 민트의 서늘함, 클라리 세이지의 은은한 몽환감이 더해지며 그 세계는 더욱 풍성해집니다. 고대 이집트의 신전 제례향부터 중세 수도원의 조용한 약초 정원까지, 인류가 가장 오랫동안 곁에 두어 온 향입니다.

허브의 향을 담아내는 방식은 생각보다 섬세합니다. 대부분은 신선한 잎과 줄기를 수증기로 쪄서 오일을 뽑아냅니다. 이렇게 하면 허브 특유의 날카롭고 생생한 첫 향이 또렷하게 살아납니다. 반면 바질이나 타라곤처럼 여린 허브는 용제로 천천히 향을 녹여내는데, 이 방식은 잎의 묵직한 질감과 풋풋한 풀 내음을 더 오래 붙잡아 둡니다. 같은 허브라도 어떻게 다루느냐에 따라 전혀 다른 인상을 줍니다.

처음 뿌리는 순간, 서늘하고 맑은 공기가 코끝을 스칩니다. 이른 아침 약초밭 사이를 걷는 것처럼, 머리가 절로 맑아지는 느낌입니다. 이 향은 집중력을 끌어올리고 마음을 조용히 가라앉히는 힘이 있습니다. 향수 구조 안에서는 첫 향과 중간 향을 자연스럽게 이어주는 다리 역할을 하며, 라벤더가 베르가못의 산뜻함과 오크모스의 깊이 사이를 부드럽게 연결하는 클래식 푸제르(Fougere) 향수가 그 대표적인 예입니다. 중요한 하루를 앞두고 마음을 다잡고 싶을 때, 혹은 복잡한 생각을 조용히 내려놓고 싶은 저녁에 어울립니다.

다른 향과 만났을 때 아로마틱은 조용히 균형을 잡아줍니다. 과일 향이 지나치게 달아질 때 그 단맛을 살짝 눌러주고, 꽃 향기가 너무 짙어질 때 서늘한 그늘을 드리웁니다. 나무 향의 건조한 베이스에는 싱그러운 숨결을 불어넣기도 합니다. 화려하게 앞에 나서기보다 전체를 단단하게 받쳐주는 향 꾸미지 않아도 단정하고 싶은 날, 아로마틱 계열을 선택해보세요.",https://img.magnific.com/free-photo/blue-blooms-coniferous-twigs_23-2148072200.jpg
2,Citrus,"시트러스(Citrus)는 지중해 햇살 아래 자라던 감귤나무에서 시작된 이름입니다. 베르가못, 레몬, 스위트 오렌지, 만다린, 그레이프프루트처럼 우리가 과일 가게에서 매일 마주치는 친숙한 재료들이 이 계열의 주인공입니다. 고대 로마의 향유에서 르네상스 궁정의 향낭까지, 향수 역사에서 가장 오랜 자리를 지켜온 계열이기도 합니다. 1709년 쾰른에서 탄생한 오 드 콜로뉴(Eau de Cologne)가 바로 이 향을 중심으로 만들어졌으니, 어떤 의미에서는 근대 향수의 출발점이라고도 할 수 있습니다. 오래되었지만 언제나 새롭게 느껴지는 향, 그게 시트러스의 매력입니다.

향을 담아내는 방식도 흥미롭습니다. 대부분은 과일 껍질을 그대로 눌러 짜서 오일을 얻는데, 이렇게 하면 과피 본연의 발랄하고 생생한 향이 고스란히 담깁니다. 반면 잎이나 꽃에서 수증기로 향을 끌어올리면 조금 더 그린하고 쌉쌀한 뉘앙스가 살아납니다. 최근에는 유자, 포멜로처럼 동아시아에서 온 감귤류가 향수 세계로 들어오면서 이 계열의 폭이 한층 넓어졌고, 레몬그라스나 버베나처럼 감귤은 아니지만 비슷한 상큼함을 지닌 식물들도 함께 다뤄집니다. 같은 레몬나무에서도 이렇게 다른 이야기가 나온다는 게 신기하지 않나요?

처음 뿌리는 순간, 서늘한 햇살 한 줄기가 코끝에 내려앉는 느낌입니다. 기분이 절로 환해지고, 어깨가 가벼워지는 것 같은 그 느낌 시트러스가 주는 첫인상이 바로 그렇습니다. 향수에서는 가장 먼저 느껴지는 첫 향을 담당하며, 짧지만 강렬하게 기억에 남는 도입부를 만들어냅니다. 플로럴의 풍성함이나 나무 향의 깊이와 만나면 그 진가가 더욱 빛나는데, 밝고 가벼운 첫 향이 묵직한 베이스를 또렷하게 부각시키기 때문이에요. 기분 전환이 필요한 아침, 혹은 무언가 새롭게 시작하고 싶은 날에 잘 어울립니다.

다른 향과 어우러질 때 시트러스는 조용히 전체를 살려주는 역할을 합니다. 과일 향의 단맛이 지나치지 않도록 균형을 잡아주고, 흰 꽃 향기의 풍만함에 환한 빛을 들여보내며, 나무나 앰버 계열의 묵직한 베이스에는 산뜻한 첫 호흡을 선물합니다. 무겁지 않으면서도 존재감이 뚜렷한 향 가볍고 명쾌하게 하루를 열고 싶을 때, 시트러스 계열을 선택해보세요.",https://images.unsplash.com/photo-1629923464290-008980c6c083?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D
3,Earthy/Smoky,"어시(Earthy)와 스모키(Smoky) 이름만 들어도 어딘가 묵직하고 깊은 인상이 떠오르지 않나요? 흙내음, 이끼, 마른 낙엽, 그리고 장작이 타고 난 뒤의 그을음. 이 계열은 그런 감각들을 향으로 옮겨놓은 세계입니다. 베티버, 패촐리, 오크모스처럼 땅속 뿌리와 토양의 기억을 담은 재료들이 어시의 중심을 이루고, 라브다넘과 자작나무 타르, 과이악우드가 그 위에 연기와 그을음의 결을 더합니다. 고대 종교 의식의 훈향에서부터 이어져 온, 향수 역사에서 가장 원초적인 뿌리를 지닌 계열입니다. 무언가 오래되고 깊은 것에 끌리는 날, 이 계열이 먼저 떠오를 겁니다.

향을 담아내는 방식도 이 계열만의 독특한 결을 만들어냅니다. 대부분은 수증기로 뿌리와 수지를 쪄서 오일을 얻지만, 자작나무 타르나 과이악우드는 나무를 고온으로 태우는 방식으로 특유의 그을음 질감을 살려냅니다. 최근에는 빗방울이 마른 땅에 닿는 순간의 냄새를 재현한 페트리코르(Petrichor) 어코드, 인도의 전통 의식에서 영감을 받은 미티(Mitti) 어코드처럼 지구 곳곳의 대지 감각이 향으로 담기고 있어요. 같은 베티버라도 아이티에서 온 것은 흙의 달큰함을, 자바에서 온 것은 더 검고 탄 듯한 인상을 줍니다. 어떻게 다루느냐에 따라 향의 표정이 이렇게나 달라지는 겁니다.

처음 맡는 순간, 비 내린 숲의 바닥이나 꺼져가는 벽난로 앞에 앉아 있는 것 같은 느낌이 옵니다. 묵직하고 어둡지만 불안하지 않아요. 오히려 깊이 가라앉는 듯한 편안함, 오래된 나무 책장이 가득한 방에 혼자 앉아 있을 때의 그 고요함에 가깝습니다. 향수 구조에서는 가장 마지막까지 남는 베이스를 담당하며, 시트러스의 산뜻한 첫 향이나 꽃 향기의 부드러움과 만날 때 밝음과 어둠의 대비가 향 전체에 입체감을 만들어줍니다.

다른 향과 어우러질 때 어시·스모키 계열은 닻처럼 전체를 붙잡아줍니다. 과일 향이 금방 날아가 버리지 않도록 잡아주고, 꽃 향기의 달콤함에 깊은 그늘을 드리우며, 나무 향에는 시간이 쌓인 듯한 농도와 무게를 더합니다. 화려하게 빛나는 향이 아니에요. 하지만 빠지면 확실히 허전한 조용히 혼자만의 시간을 갖고 싶을 때, 혹은 사색적인 분위기를 원할 때 이 계열을 선택해보세요.",https://i.pinimg.com/736x/18/9c/58/189c5830da466b73f0dcb6476fdaab6f.jpg
4,Floral,"플로럴(Floral)이라는 이름은 로마 신화에서 봄과 꽃을 관장하던 여신 플로라(Flora)와 같은 뿌리에서 왔습니다. 장미, 자스민, 튜베로즈, 일랑일랑, 오렌지 블로섬처럼 향수 역사에서 가장 오래, 가장 사랑받아 온 꽃들이 이 계열의 주인공입니다. 고대 이집트의 연꽃 향유에서 그리스 신전의 장미 화관까지, 플로럴은 향수의 역사와 언제나 함께였습니다. 꽃 한 송이가 공기를 바꾸는 순간을 향으로 담아낸 계열, 그게 플로럴입니다. 꽃이 피는 계절처럼 기분을 환기하고 싶은 날, 이 계열이 가장 먼저 떠오를 겁니다.

향을 담아내는 방식도 꽃잎만큼이나 섬세합니다. 대부분의 꽃은 용제로 향을 천천히 녹여내는 방식으로 오일을 얻는데, 이렇게 하면 꽃 특유의 관능적이고 농밀한 결이 그대로 살아납니다. 반면 다마스크 장미는 수증기로 증류해 로즈 오토(Rose Otto)를 얻는데, 이 방식은 청량하고 투명한 장미의 인상을 담아냅니다. 최근에는 오스만투스, 매그놀리아, 작약처럼 동아시아의 꽃들이 합류하며 플로럴의 세계가 더욱 넓고 다채로워졌어요. 같은 꽃이라도 어떻게 다루느냐에 따라 전혀 다른 표정이 나오는 게 플로럴의 매력입니다.

처음 맡는 순간, 활짝 핀 정원 한가운데 서 있는 것 같은 느낌이 옵니다. 풍성하고 부드럽고, 어딘가 설레는 온기가 있어요. 향수 구조에서는 중간 향의 중심을 차지하며, 향 전체의 분위기와 표정을 결정짓는 역할을 합니다. 한 가지 꽃만 주인공으로 내세운 향수도 있고, 여러 꽃을 한 다발처럼 엮은 향수도 있어요. 시트러스의 산뜻함이나 나무 향의 따뜻한 온기와 만날 때 그 매력이 더욱 깊어집니다.

다른 향과 어우러질 때 플로럴은 향의 표정을 만드는 주역입니다. 과일의 달콤함에 우아한 품격을 더하고, 나무 향의 건조한 질감을 부드럽게 감싸주며, 머스크와 만나면 살결에 닿는 듯한 따뜻하고 친밀한 온기를 만들어냅니다. 향에 감정과 개성을 불어넣는 계열 우아하고 낭만적인 분위기를 원하는 날, 혹은 특별한 자리에서 오래 기억되고 싶을 때 플로럴 계열을 선택해보세요.",https://i.pinimg.com/736x/94/15/60/941560cb1eff5571e0f9c76dfa470d69.jpg
5,Fresh,"프레시(Fresh)라는 이름은 신선한, 막 태어난을 뜻하는 오래된 단어에서 왔습니다. 향수에서 이 계열은 특정 꽃이나 식물을 가리키는 게 아닙니다. 서늘하고 깨끗한 느낌 그 자체를 향으로 담아낸 카테고리입니다. 갓 자른 풀줄기의 수액, 비 그친 뒤의 공기, 파도가 부서지는 해변의 바람 이 계열은 그런 순간들을 고스란히 병 안에 옮겨놓습니다. 식물의 즙액과 그린함을 담은 축과, 바다와 빗물의 인상을 옮긴 축, 이 두 날개가 프레시 계열을 이루고 있어요. 머리를 맑게 비우고 싶은 날, 혹은 가볍고 단정하게 하루를 시작하고 싶을 때 이 계열이 먼저 떠오를 겁니다.

향을 담아내는 방식도 흥미롭습니다. 갈바넘, 바이올렛 잎, 무화과 잎 같은 그린 재료들은 수증기 증류나 용제 추출로 오일을 얻습니다. 반면 바다나 빗물의 향은 자연에서 직접 뽑아낼 수 없기 때문에, 분자 단위의 정밀한 조합으로 완성됩니다. 바다 향을 재현하는 합성 분자 칼론(Calone)이 등장한 1966년을 기점으로, 1990년대 이후 본격적으로 꽃을 피운 계열이에요. 최근에는 시소 잎이나 죽순처럼 동아시아 식물에서 영감을 받은 변주도 늘어나고 있습니다. 그래서 맡을 때마다 자연보다 더 자연 같은 인상을 주기도 합니다.

처음 뿌리는 순간, 이른 아침 이슬 맺힌 잔디밭에 서 있는 것 같은 느낌이 옵니다. 차갑고 투명하고, 폐 속까지 맑아지는 기분이에요. 향수에서는 가장 먼저 느껴지는 첫 향을 담당하며, 빠르게 퍼지고 경쾌하게 인상을 남깁니다. 시트러스의 산뜻함, 흰 꽃의 투명함, 머스크의 부드러운 잔향과 자주 어울리는데, 모두 깨끗함이라는 같은 감각을 공유하기 때문이에요.

다른 향과 만났을 때 프레시 계열은 공기처럼 작동합니다. 과일 향의 단맛을 희석해 한결 가볍게 만들고, 꽃 향기의 짙은 농도에 바람을 들이며, 나무 향의 건조한 무게감에는 시원한 수분을 더합니다. 향에 여백을 만들고 숨을 트이게 해주는 계열 활기차고 단정한 인상을 주고 싶을 때, 혹은 아무것도 더하지 않은 듯 자연스러운 향을 원할 때 프레시 계열을 선택해보세요.",https://i.pinimg.com/736x/a9/04/bf/a904bf6c29223998d34f4203ebbdb4ee.jpg
6,Fruity,"프루티(Fruity)는 말 그대로 과일의 향입니다. 단, 레몬이나 자몽 같은 시트러스는 따로 분류되고, 여기서는 그 외의 과일들 복숭아, 사과, 배, 블랙커런트, 라즈베리처럼 달콤하고 즙이 넘치는 것들이 이 계열의 주인공입니다. 햇볕에 잘 익은 복숭아를 한 입 베어 물었을 때의 그 느낌, 혹은 여름날 과수원을 지나칠 때 코끝에 스치는 그 달큰한 공기 프루티 계열은 그런 감각을 향으로 옮겨놓습니다. 1919년 겔랑의 향수 미츠코(Mitsouko)에서 복숭아 향을 재현하는 합성 분자가 처음 쓰이면서 하나의 독립된 갈래로 자리 잡기 시작했어요. 달콤하고 생기 넘치는 향이 그리울 때, 이 계열이 가장 먼저 떠오를 겁니다.

향을 담아내는 방식도 과일만큼 다양합니다. 블랙커런트 봉오리는 용제로 직접 추출해 특유의 새콤달콤한 카시스 향을 살려내고, 오스만투스 꽃은 살구 같은 인상을 머금어 꽃 향기와 과일 향기의 경계에 살포시 걸쳐 있습니다. 사과나 멜론처럼 향을 직접 추출하기 어려운 과일은 향기 분자를 과학적으로 분석해 재구성하는 방식으로 담아냅니다. 최근에는 리치, 망고, 패션프루트처럼 열대 과일들이 합류하면서 이 계열의 스펙트럼이 훨씬 넓어졌습니다. 자연에서 온 것이든, 실험실에서 정교하게 빚어낸 것이든, 과일의 즙기를 담아내는 방법은 이렇게 다양합니다.

처음 뿌리는 순간, 햇볕 아래 잘 익은 과수원 한가운데 서 있는 것 같은 느낌이 옵니다. 달콤하고 싱그럽고, 기분이 절로 가벼워지는 향이에요. 향수 구조에서는 첫 향에서 중간 향으로 이어지는 구간을 채우며, 향 전체에 풍성한 부피감과 식감을 더합니다. 특히 꽃 향기와 함께 어우러지는 프루티 플로럴은 1990년대 이후 여성 향수의 가장 사랑받는 조합으로 자리 잡았어요. 발랄하고 친근한 인상을 주고 싶을 때, 혹은 가볍고 유쾌한 분위기를 원하는 날 잘 어울립니다.

다른 향과 만났을 때 프루티 계열은 향 전체에 윤기를 더합니다. 시트러스의 날카로운 산미를 부드럽게 다듬어주고, 꽃 향기에는 즙기 어린 풍성함을 보태며, 나무 향이나 달콤한 베이스와 만나면 먹음직스러운 친밀함을 만들어냅니다. 향에 미소와 생기를 불어넣는 계열 오늘 하루 조금 더 달콤하고 싶다면, 프루티 계열을 선택해보세요.",https://img.magnific.com/free-photo/colorful-fruit_1417-1529.jpg
